library,version,container
requests-toolbelt,0.8.0,<pip>
rope,0.10.5,py27_0
rope,0.9.4,py27_1
rpy2,2.8.1,py27r3.3.1_1
rsa,3.1.2,<pip>
ruamel_yaml,0.11.14,py27_0
ruamel_yaml,0.11.14,py27_1
s3transfer,0.1.10,<pip>
sasl,0.1.3,py27_0
sasl,0.2.1,<pip>
scandir,1.4,py27_0
scandir,1.5,py27_1
scikit-fuzzy,0.2,<pip>
scikit-image,0.11.3,np19py27_0
scikit-image,0.12.3,np111py27_1
scikit-image,0.13.0,<pip>
scikit-learn,0.16.1,np19py27_0
scikit-learn,0.18.1,np111py27_1
scikit-learn,0.18.2,<pip>
scipy,0.16.0,<pip>
scipy,0.17.1,np19py27_1
scipy,0.18.1,np111py27_1
scipy,0.19.0,<pip>
scipy,0.19.1,<pip>
seaborn,0.7.1,<pip>
seaborn,0.7.1,py27_0
setproctitle,1.1.10,<pip>
setuptools,27.2.0,py27_0
setuptools,33.1.1,py27_0
simplegeneric,0.8.1,py27_0
simplegeneric,0.8.1,py27_1
singledispatch,3.4.0.3,py27_0
sip,4.18,py27_0
sip,4.18,py27_1
six,1.10.0,py27_0
six,1.10.0,py27_1
slepc,3.6.2,py27_2
smart-open,1.4.0,<pip>
smmap2,2.0.1,<pip>
snakebite,2.11.0,py27_0
snowballstemmer,1.2.1,py27_0
sockjs-tornado,1.0.3,py27_0
sortedcollections,0.5.3,<pip>
sortedcontainers,1.5.7,<pip>
sphinx,1.5.1,py27_0
sphinx,1.5.5,py27_0
sphinx-argparse,0.2.0,<pip>
sphinx_rtd_theme,0.2.4,py27_0
spyder,2.3.8,py27_1
spyder,3.1.2,py27_0
spyder,3.1.4,<pip>
spyder-app,2.3.8,py27_0
sqlalchemy,1.1.5,py27_0
sqlalchemy-hana,0.2.2,<pip>
sqlite,3.13.0,0
sqlite,3.13.0,1
sqlparse,0.2.3,<pip>
ssl_match_hostname,3.4.0.2,py27_1
ssl_match_hostname,3.5.0.1,py27_1
statsmodels,0.6.1,np111py27_1
statsmodels,0.6.1,np19py27_0
statsmodels,0.8.0,<pip>
subprocess32,3.2.7,py27_0
swig,3.0.7,0
sympy,1.0,<pip>
sympy,1.0,py27_0
system,5.8,2
tabulate,0.7.5,<pip>
tabulate,0.7.7,<pip>
tblib,1.3.2,<pip>
tempora,1.6.1,<pip>
teradata,15.10.0.20,py27_0
terminado,0.6,py27_0
testpath,0.3,<pip>
testpath,0.3,py27_0
thrift,0.10.0,py27_0
thrift,0.9.3,<pip>
thrift-sasl,0.2.1,<pip>
thrift_sasl,0.1.0,py27_0
thriftpy,0.3.9,<pip>
thriftpy,0.3.9,py27_0
tk,8.5.18,0
tk,8.5.19,1
toolz,0.8.2,py27_0
toree,0.1.0.dev8,<pip>
tornado,4.3,<pip>
tornado,4.4.2,py27_0
tornado,4.4.3,py27_0
tornado,4.5.1,<pip>
traitlets,4.3.1,py27_0
traitlets,4.3.2,<pip>
traitlets,4.3.2,py27_0
ufl,1.6.0,py27_1
unicodecsv,0.14.1,py27_0
unixodbc,2.3.4,0
untangle,1.1.0,<pip>
util-linux,2.21,0
vaderSentiment,2.5,<pip>
vine,1.1.3,<pip>
virtualenv,15.1.0,py27_0
vtk,7.0.0,py27_1
wcwidth,0.1.7,py27_0
webencodings,0.5,py27_0
werkzeug,0.11.10,py27_0
werkzeug,0.11.15,py27_0
wheel,0.29.0,py27_0
widgetsnbextension,1.2.6,py27_0
widgetsnbextension,2.0.0,py27_0
wrapt,1.10.10,<pip>
wrapt,1.10.8,py27_0
xlrd,1.0.0,py27_0
xlrd,1.0.0,py27_1
xlsxwriter,0.9.6,py27_0
xlwt,1.2.0,py27_0
xmltodict,0.10.2,<pip>
xz,5.2.2,0
xz,5.2.2,1
yaml,0.1.6,0
yellowbrick,0.4,<pip>
zeromq,4.1.5,0
zeromq,4.2.1,1
zict,0.1.2,<pip>
zlib,1.2.11,0
zlib,1.2.8,3
zope.deprecation,4.2.0,<pip>
